id,coaster_name,Location,Continent,Country
84XW74,Boomerang: Coast to Coaster,Six Flags Great Adventure,North America,United States
46ZN48,Boomerang: Coast to Coaster,Six Flags Mexico,North America,Mexico
28MS92,Boomerang: Coast to Coaster,Six Flags New England,North America,United States
65IY22,Boomerang: Coast to Coaster,Six Flags St. Louis,North America,United States
55AH45,Booster Bike,Toverland,Europe,Netherlands
65BV97,Boulder Dash ,Lake Compounce,North America,United States
22PZ31,BuzzSaw ,Dreamworld,Oceania,Australia
61ML34,Cactus Coaster,Adventureland (Iowa),North America,United States
81SF46,California Screamin',Disney California Adventure,North America,United States
68PF49,Candymonium,Hersheypark,North America,United States
90FB15,Cannibal ,Lagoon,North America,United States
31WQ17,Cannon Ball ,Lake Winnepesaukah,North America,United States
87IB12,Cannon Coaster,Coney Island,North America,United States
85SB25,Cannonball Express ,Pleasurewood Hills,Europe,United Kingdom
22OR59,Cannonball Run ,Waterville USA,North America,United States
15QD68,Canobie Corkscrew,Canobie Lake Park,North America,United States
51LO55,Canopy Flyer,Universal Studios Singapore,Asia,Singapore
46EB37,Canyon Blaster ,Adventuredome,North America,United States
50CU46,Canyon Blaster ,Great Escape,North America,United States
90WK57,Canyon Blaster ,Six Flags Magic Mountain,North America,United States
10KT62,Carolina Cyclone,Carowinds,North America,United States
33KA32,Carolina Goldrusher,Carowinds,North America,United States
17AT99,Catwoman's Whip,Six Flags New England,North America,United States
78QM74,Cedar Creek Mine Ride,Cedar Point,North America,United States
12AG59,Chang ,Kentucky Kingdom,North America,United States
85SG96,Cheetah ,Wild Adventures,North America,United States
48BK61,Cheetah Hunt,Busch Gardens Tampa Bay,North America,United States
88AE73,Cliffhanger,Glenwood Caverns Adventure Park,North America,United States
57GA72,Coast Rider,Knott's Berry Farm,North America,United States
81AB42,Cobra ,La Ronde,North America,Canada
53LC17,Cobra ,PowerPark,Europe,Finland
10DU92,Cobra ,Tivoli Friheden,Europe,Denmark
27XJ15,Cobra's Curse,Busch Gardens Tampa Bay,North America,United States
70FY96,Colorado Adventure,Phantasialand,Europe,Germany
65XB99,Colossos - Kampf der Giganten,Heide Park,Europe,Germany
53OZ99,Colossus ,Playcenter Sao Paulo,South America,Brazil
87IN66,Colossus ,Six Flags Magic Mountain,North America,United States
24YM75,Colossus ,Thorpe Park,Europe,United Kingdom
98GB56,Colossus the Fire Dragon,Lagoon Amusement Park,North America,United States
70RR80,Comet ,Hersheypark,North America,United States
51HL62,Comet ,Lincoln Park,North America,United States
51CD53,Comet ,Waldameer Park,North America,United States
94UX12,Comet Express,Great Escape,North America,United States
63DQ78,Condor ,Walibi Holland,Europe,Netherlands
73JT72,Coney Island Cyclone,"Luna Park, Coney Island",North America,United States
16XO34,Copperhead Strike,Carowinds,North America,United States
13GE46,Corkscrew ,Alton Towers,Europe,United Kingdom
67IZ33,Corkscrew ,Cedar Point,North America,United States
21KE14,Corkscrew ,Knott's Berry Farm,North America,United States
45MP79,Corkscrew ,"Muskegon, Michigan, United States",North America,United States
25FA74,Corkscrew ,Playland,North America,United States
18RN16,Corkscrew ,Silverwood Theme Park,North America,United States
19MM77,Corkscrew ,Valleyfair,North America,United States
27WO33,Cornball Express,Indiana Beach,North America,United States
59YX28,Cosmic Coaster ,Valleyfair,North America,United States
87AI93,Cosmic Coaster ,Worlds of Fun,North America,United States
84EW39,Crazy Bats,Phantasialand,Europe,Germany
11NY19,Crazy Bird,Happy Valley Tianjin,Asia,China
95VF65,Crush's Coaster,Walt Disney Studios Park,Europe,France
69YN82,Crystal Beach Cyclone,Crystal Beach Park,North America,United States
39EI61,Crystal Wing,Happy Valley Beijing,Asia,China
54TO94,Cyclone ,Lakeside Amusement Park,North America,United States
13GS63,Cyclone ,Palisades Amusement Park,North America,United States
41MH60,Cyclone ,Revere Beach,North America,United States
50JI41,Cyclone ,Six Flags New England,North America,United States
87VQ99,Cyclops ,Mt. Olympus Water & Theme Park,North America,United States
30VL40,Dæmonen,Tivoli Gardens,Europe,Denmark
90JM38,Dahlonega Mine Train,Six Flags Over Georgia,North America,United States
30MG93,Daidarasaurus,Expoland,Asia,Japan
94MS38,Dania Beach Hurricane,Boomers!,North America,United States
73MT59,Dare Devil Dive,Six Flags Over Georgia,North America,United States
71AJ71,Dauling Dragon,Happy Valley Wuhan,Asia,China
83HQ39,Dawson Duel ,Bellewaerde,Europe,Belgium
99BM74,DC Rivals HyperCoaster,Warner Bros. Movie World,Oceania,Australia
50MB70,De Vliegende Hollander,Efteling,Europe,Netherlands
34AR64,Deep Space ,Imagicaa,Asia,India
77SU13,Defiance ,Glenwood Caverns Adventure Park,North America,United States
33HB80,Déjà Vu,Six Flags Magic Mountain,North America,United States
31NX90,Demon ,Six Flags Great America,North America,United States
80PR61,Derby Racer,Revere Beach,North America,United States
81FA69,Desert Storm ,Castles N' Coasters,North America,United States
23TA74,Desmo Race,Mirabilandia,Europe,Italy
31LM40,Desperado ,Primm Valley Resorts,North America,United States
68TR56,Diamondback ,Kings Island,North America,United States
11JM20,Diavlo,Himeji Central Park,Asia,Japan
77DR42,Dinoconda,China Dinosaurs Park,Asia,China
42GR74,Disaster Transport,Cedar Point,North America,United States
48XL62,Dive Coaster ,Chimelong Paradise,Asia,China
20GI85,Diving Coaster,Happy Valley Shanghai,Asia,China
36VD23,Diving Machine G5,Janfusun Fancyworld,Asia,Taiwan
77BN97,Do-Dodonpa,Fuji-Q Highland,Asia,Japan
53UR50,Dominator ,Dorney Park & Wildwater Kingdom,North America,United States
11FD56,Dominator ,Kings Dominion,North America,United States
49RW23,Doo Wopper,Morey's Piers,North America,United States
59LA86,Double Loop ,Geauga Lake,North America,United States
24RA39,Dr. Diabolical's Cliffhanger,Six Flags Fiesta Texas,North America,United States
14IG87,Drachen Fire,Busch Gardens Williamsburg,North America,United States
59UC16,Dragon ,Adventureland (Iowa),North America,United States
57NH28,Dragon Challenge: Chinese Fireball,Universal's Islands of Adventure,North America,United States
65KQ80,Dragon Challenge: Hungarian Horntail,Universal's Islands of Adventure,North America,United States
19ME22,Dragon Coaster ,Dorney Park & Wildwater Kingdom,North America,United States
87NI48,Dragon Coaster ,Playland,North America,United States
97HI94,Dragon Express,Adventure World,Oceania,Australia
33ZQ56,Dragon Fyre,Canada's Wonderland,North America,Canada
49UB43,Dragon Khan,PortAventura Park,Europe,Spain
17RS12,Dragon Mountain,Marineland of Canada,North America,Canada
93AC30,Dragon Slayer ,Adventureland (Iowa),North America,United States
25BG17,Dragon Wagon ,Indiana Beach,North America,United States
47XU96,Dragonflier,Dollywood,North America,United States
74QP48,Dragonfly ,Duinrell,Europe,Netherlands
94PL79,Dragon's Fury ,Chessington World of Adventures,Europe,United Kingdom
54NW19,Dragon's Run,Janfusun Fancyworld,Asia,Taiwan
21KI53,Dreamcatcher ,Bobbejaanland,Europe,Belgium
94QD18,Drop the Dip,Coney Island,North America,United States
83EZ44,Dynamite ,Freizeitpark Plohn,Europe,Germany
53JT27,Eagle Fortress,Everland,Asia,South Korea
67IE72,Ednör – L'Attaque,La Ronde,North America,Canada
20KO96,Eejanaika ,Fuji-Q Highland,Asia,Japan
42UY97,El Loco ,Adventuredome,North America,United States
66WW98,El Toro ,Freizeitpark Plohn,Europe,Germany
60SY74,El Toro ,Six Flags Great Adventure,North America,United States
71ZU23,Electric Eel ,SeaWorld San Diego,North America,United States
45DU63,Emperor ,SeaWorld San Diego,North America,United States
18XH75,Enchanted Airways,Universal Studios Singapore,Asia,Singapore
13DZ98,Escape from Madagascar,Dreamworld,Oceania,Australia
28NN94,Escape of Novgorod,Hansa-Park,Europe,Germany
58VL39,Eureka Mountain Mine Ride,Dreamworld,Oceania,Australia
26DN88,Eurofighter ,Zoosafari Fasanolandia,Europe,Italy
54XL26,Euro-Mir,Europa-Park,Europe,Germany
63FB27,Eurosat - CanCan Coaster,Europa-Park,Europe,Germany
